season,game_id,start_date,home_team,away_team,home_points,away_points,neutral_site,scope_status,scope_provenance
2016,400869090,2016-08-27T02:00:00.000Z,California,Hawai'i,51,31,True,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869341,2016-09-01T23:00:00.000Z,Louisville,Charlotte,70,14,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869421,2016-09-01T23:00:00.000Z,Wake Forest,Tulane,7,3,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400868977,2016-09-01T23:30:00.000Z,Tennessee,App State,20,13,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869342,2016-09-01T23:30:00.000Z,Florida International,Indiana,13,34,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400868968,2016-09-02T00:00:00.000Z,Vanderbilt,South Carolina,10,13,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869347,2016-09-02T00:00:00.000Z,Western Kentucky,Rice,46,14,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869092,2016-09-02T01:00:00.000Z,Minnesota,Oregon State,30,23,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400868910,2016-09-02T23:00:00.000Z,Temple,Army,13,28,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869258,2016-09-02T23:00:00.000Z,Georgia State,Ball State,21,31,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869093,2016-09-03T00:00:00.000Z,Colorado,Colorado State,44,7,True,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869094,2016-09-03T01:00:00.000Z,Stanford,Kansas State,26,13,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869265,2016-09-03T01:00:00.000Z,Arkansas State,Toledo,10,31,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869424,2016-09-03T11:30:00.000Z,Boston College,Georgia Tech,14,17,True,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400868975,2016-09-03T16:00:00.000Z,Mississippi State,South Alabama,20,21,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400868976,2016-09-03T16:00:00.000Z,West Virginia,Missouri,26,11,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869176,2016-09-03T16:00:00.000Z,Louisiana,Boise State,10,45,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869180,2016-09-03T16:00:00.000Z,Michigan,Hawai'i,63,3,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869260,2016-09-03T16:00:00.000Z,Ohio State,Bowling Green,77,10,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869267,2016-09-03T16:00:00.000Z,Northwestern,Western Michigan,21,22,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869507,2016-09-03T16:00:00.000Z,Houston,Oklahoma,33,23,True,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869097,2016-09-03T18:00:00.000Z,Washington,Rutgers,48,13,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400868974,2016-09-03T19:30:00.000Z,Wisconsin,LSU,16,14,True,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400868978,2016-09-03T19:30:00.000Z,Texas A&M,UCLA,31,24,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869261,2016-09-03T19:30:00.000Z,Penn State,Kent State,33,13,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869262,2016-09-03T19:30:00.000Z,Iowa,Miami (OH),45,21,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869264,2016-09-03T19:30:00.000Z,Ohio,Texas State,54,56,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400868970,2016-09-03T20:00:00.000Z,Arkansas,Louisiana Tech,21,20,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400868972,2016-09-03T21:30:00.000Z,North Carolina,Georgia,24,33,True,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869183,2016-09-03T23:00:00.000Z,Tulsa,San José State,45,10,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869345,2016-09-03T23:00:00.000Z,North Texas,SMU,21,34,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400868957,2016-09-03T23:30:00.000Z,Florida,Massachusetts,24,7,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400868973,2016-09-03T23:30:00.000Z,Kentucky,Southern Miss,35,44,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400868969,2016-09-04T00:00:00.000Z,Alabama,USC,52,6,True,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869179,2016-09-04T00:00:00.000Z,Nebraska,Fresno State,43,10,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869348,2016-09-04T00:00:00.000Z,UTEP,New Mexico State,38,22,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400868971,2016-09-04T01:00:00.000Z,Auburn,Clemson,13,19,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400868922,2016-09-04T02:30:00.000Z,Arizona,BYU,16,18,True,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869178,2016-09-04T02:30:00.000Z,Wyoming,Northern Illinois,40,34,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400868946,2016-09-04T23:30:00.000Z,Texas,Notre Dame,50,47,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400868979,2016-09-06T00:00:00.000Z,Florida State,Ole Miss,45,34,True,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869351,2016-09-09T23:30:00.000Z,Florida International,Maryland,14,41,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869429,2016-09-10T00:00:00.000Z,Syracuse,Louisville,28,62,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400868911,2016-09-10T16:00:00.000Z,Army,Rice,31,14,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400868958,2016-09-10T16:00:00.000Z,Massachusetts,Boston College,7,26,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869187,2016-09-10T16:00:00.000Z,Nebraska,Wyoming,52,17,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869270,2016-09-10T16:00:00.000Z,Oklahoma State,Central Michigan,27,30,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869435,2016-09-10T16:00:00.000Z,East Carolina,NC State,33,30,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869436,2016-09-10T16:00:00.000Z,Pittsburgh,Penn State,42,39,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869510,2016-09-10T16:00:00.000Z,Michigan,UCF,51,14,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869511,2016-09-10T16:00:00.000Z,Purdue,Cincinnati,20,38,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869430,2016-09-10T16:30:00.000Z,Clemson,Troy,30,24,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869101,2016-09-10T18:00:00.000Z,USC,Utah State,45,7,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869184,2016-09-10T18:00:00.000Z,Air Force,Georgia State,48,14,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869277,2016-09-10T18:30:00.000Z,Kansas,Ohio,21,37,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400868877,2016-09-10T19:30:00.000Z,Baylor,SMU,40,13,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400868947,2016-09-10T19:30:00.000Z,Notre Dame,Nevada,39,10,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400868980,2016-09-10T19:30:00.000Z,Alabama,Western Kentucky,38,10,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400868983,2016-09-10T19:30:00.000Z,Florida,Kentucky,45,7,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869268,2016-09-10T19:30:00.000Z,Wisconsin,Akron,54,10,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869355,2016-09-10T19:30:00.000Z,App State,Old Dominion,31,7,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869431,2016-09-10T19:30:00.000Z,Duke,Wake Forest,14,24,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869512,2016-09-10T19:30:00.000Z,Navy,UConn,28,24,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869516,2016-09-10T19:30:00.000Z,Ohio State,Tulsa,48,3,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400868991,2016-09-10T20:00:00.000Z,Vanderbilt,Middle Tennessee,47,24,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869185,2016-09-10T20:00:00.000Z,Colorado State,UTSA,23,14,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869269,2016-09-10T20:00:00.000Z,Indiana,Ball State,30,20,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869105,2016-09-10T21:00:00.000Z,Washington,Idaho,59,14,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869719,2016-09-10T22:00:00.000Z,Miami,Florida Atlantic,38,10,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400868981,2016-09-10T23:00:00.000Z,TCU,Arkansas,38,41,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400868987,2016-09-10T23:00:00.000Z,Mississippi State,South Carolina,27,14,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869273,2016-09-10T23:00:00.000Z,South Florida,Northern Illinois,48,17,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869357,2016-09-10T23:00:00.000Z,Texas,UTEP,41,7,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869612,2016-09-10T23:00:00.000Z,Oklahoma,UL Monroe,59,17,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869811,2016-09-10T23:00:00.000Z,South Alabama,Georgia Southern,9,24,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400868888,2016-09-10T23:30:00.000Z,Iowa,Iowa State,42,3,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400868923,2016-09-10T23:30:00.000Z,Utah,BYU,20,19,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400868982,2016-09-10T23:30:00.000Z,Auburn,Arkansas State,51,14,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400868988,2016-09-10T23:30:00.000Z,Missouri,Eastern Michigan,61,21,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869434,2016-09-10T23:30:00.000Z,Illinois,North Carolina,23,48,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400868989,2016-09-11T00:00:00.000Z,Tennessee,Virginia Tech,45,24,True,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869102,2016-09-11T00:00:00.000Z,UCLA,UNLV,42,21,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869186,2016-09-11T00:00:00.000Z,New Mexico State,New Mexico,32,31,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869100,2016-09-11T02:00:00.000Z,Arizona State,Texas Tech,68,55,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869106,2016-09-11T02:15:00.000Z,Boise State,Washington State,31,28,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869104,2016-09-11T02:30:00.000Z,Oregon,Virginia,44,26,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869107,2016-09-11T02:30:00.000Z,San Diego State,California,45,40,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869517,2016-09-15T23:30:00.000Z,Cincinnati,Houston,16,40,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869361,2016-09-17T00:00:00.000Z,Rice,Baylor,10,38,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869193,2016-09-17T01:00:00.000Z,Utah State,Arkansas State,34,20,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869109,2016-09-17T01:30:00.000Z,UTSA,Arizona State,28,32,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400868889,2016-09-17T16:00:00.000Z,TCU,Iowa State,41,20,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869000,2016-09-17T16:00:00.000Z,Tennessee,Ohio,28,19,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869192,2016-09-17T16:00:00.000Z,Rutgers,New Mexico,37,28,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869278,2016-09-17T16:00:00.000Z,Marshall,Akron,38,65,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869281,2016-09-17T16:00:00.000Z,Bowling Green,Middle Tennessee,21,41,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869440,2016-09-17T16:00:00.000Z,Louisville,Florida State,63,20,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869519,2016-09-17T16:00:00.000Z,Penn State,Temple,34,27,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869520,2016-09-17T16:00:00.000Z,Memphis,Kansas,43,7,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869657,2016-09-17T16:00:00.000Z,Wisconsin,Georgia State,23,17,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869720,2016-09-17T16:00:00.000Z,App State,Miami,10,45,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869001,2016-09-17T16:30:00.000Z,Georgia Tech,Vanderbilt,38,7,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869444,2016-09-17T17:30:00.000Z,UConn,Virginia,13,10,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869116,2016-09-17T18:00:00.000Z,Washington State,Idaho,56,6,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869358,2016-09-17T18:30:00.000Z,Kansas State,Florida Atlantic,63,7,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869195,2016-09-17T19:00:00.000Z,Toledo,Fresno State,52,17,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869198,2016-09-17T19:00:00.000Z,Central Michigan,UNLV,44,21,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400868959,2016-09-17T19:30:00.000Z,Massachusetts,Florida International,21,13,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400868997,2016-09-17T19:30:00.000Z,Ole Miss,Alabama,43,48,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869111,2016-09-17T19:30:00.000Z,Michigan,Colorado,45,28,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869113,2016-09-17T19:30:00.000Z,Nebraska,Oregon,35,32,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869197,2016-09-17T19:30:00.000Z,Northern Illinois,San Diego State,28,42,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869283,2016-09-17T19:30:00.000Z,Miami (OH),Western Kentucky,24,31,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869437,2016-09-17T19:30:00.000Z,Virginia Tech,Boston College,49,0,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869442,2016-09-17T19:30:00.000Z,Oklahoma State,Pittsburgh,45,38,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869443,2016-09-17T19:30:00.000Z,Syracuse,South Florida,20,45,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400868995,2016-09-17T20:00:00.000Z,Kentucky,New Mexico State,62,42,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400868999,2016-09-17T20:00:00.000Z,South Carolina,East Carolina,20,15,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869284,2016-09-17T20:00:00.000Z,Illinois,Western Michigan,10,34,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869280,2016-09-17T22:00:00.000Z,Charlotte,Eastern Michigan,19,37,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869360,2016-09-17T22:00:00.000Z,NC State,Old Dominion,49,22,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869813,2016-09-17T22:00:00.000Z,Georgia Southern,UL Monroe,23,21,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400868912,2016-09-17T23:00:00.000Z,UTEP,Army,14,66,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400868993,2016-09-17T23:00:00.000Z,Auburn,Texas A&M,16,29,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400868996,2016-09-17T23:00:00.000Z,LSU,Mississippi State,23,20,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869359,2016-09-17T23:00:00.000Z,Texas Tech,Louisiana Tech,59,45,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869362,2016-09-17T23:00:00.000Z,Southern Miss,Troy,31,37,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869518,2016-09-17T23:00:00.000Z,UCF,Maryland,24,30,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869521,2016-09-17T23:00:00.000Z,Tulane,Navy,14,21,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869814,2016-09-17T23:00:00.000Z,Louisiana,South Alabama,28,23,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400868948,2016-09-17T23:30:00.000Z,Notre Dame,Michigan State,28,36,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400868992,2016-09-17T23:30:00.000Z,Arkansas,Texas State,42,3,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400868994,2016-09-17T23:30:00.000Z,Florida,North Texas,32,0,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400868998,2016-09-17T23:30:00.000Z,Missouri,Georgia,27,28,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869613,2016-09-17T23:30:00.000Z,Oklahoma,Ohio State,24,45,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869110,2016-09-18T00:00:00.000Z,Stanford,USC,27,10,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869439,2016-09-18T00:00:00.000Z,Northwestern,Duke,24,13,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869196,2016-09-18T01:00:00.000Z,Nevada,Buffalo,38,14,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400868924,2016-09-18T02:15:00.000Z,BYU,UCLA,14,17,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869112,2016-09-18T02:30:00.000Z,San José State,Utah,17,34,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869117,2016-09-18T02:30:00.000Z,California,Texas,50,43,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869108,2016-09-18T02:45:00.000Z,Arizona,Hawai'i,47,28,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869446,2016-09-22T23:30:00.000Z,Georgia Tech,Clemson,7,26,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869201,2016-09-23T23:30:00.000Z,Eastern Michigan,Wyoming,27,24,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869524,2016-09-24T00:00:00.000Z,SMU,TCU,3,33,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869118,2016-09-24T01:00:00.000Z,Utah,USC,31,27,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869002,2016-09-24T16:00:00.000Z,Alabama,Kent State,48,0,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869005,2016-09-24T16:00:00.000Z,Ole Miss,Georgia,45,14,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869200,2016-09-24T16:00:00.000Z,Minnesota,Colorado State,31,24,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869203,2016-09-24T16:00:00.000Z,Purdue,Nevada,24,14,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
2016,400869204,2016-09-24T16:00:00.000Z,Iowa State,San José State,44,10,False,2016_PROVISIONAL_FBS_VS_FBS,v1.72_2016_bounded_lineage_plus_v0.22_schedule
